topic_id,Topic 1 Label,Topic 1 URL,Topic 2 Label,Topic 2 URL,Number,File,Distribution,token1,token2,token3,token4,token5,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
EU_en_Pres3-100_83,social welfare,http://eurovoc.europa.eu/2563,,,83,EU_en_Pres3-100,0.03545,social,investment,policies,employment,interest,rates,financial,balance,expenditure,countries,inflation,measures,economy,budget,,,,,,
EU_en_Pres3-100_84,,,,,84,EU_en_Pres3-100,0.0047,weight,form,circuit,contained,dimensions,marking,housing,exceed,integrated,capacity,monolithic,bits,description,relating,,,,,,
EU_en_Pres3-100_85,,,,,85,EU_en_Pres3-100,0.00824,awarded,tender,nr,official,works,total,type,number,prohibition,nature,batch,withdrawal,livrance,interdiction,,,,,,
EU_en_Pres3-100_86,energy,http://eurovoc.europa.eu/2563,,,86,EU_en_Pres3-100,0.02121,electricity,coal,supplies,supply,consumption,prices,community,states,investment,demand,imports,toe,fuels,nuclear,,,,,,
EU_en_Pres3-100_87,Greece,http://eurovoc.europa.eu/2563,,,87,EU_en_Pres3-100,0.02414,republic,trade,hellenic,economic,accession,additional,textile,Greece,article,negotiations,imports,communities,council,India,,,,,,
EU_en_Pres3-100_88,alcohol,http://eurovoc.europa.eu/2563,,,88,EU_en_Pres3-100,0.00563,products,designation,de,transport,tariff,described,certify,litres,alcohol,hectolitres,considered,community,holding,containers,,,,,,
EU_en_Pres3-100_89,,,,,89,EU_en_Pres3-100,0.22347,il,iii,account,ot,es,cf,iv,en,st,de,ion,le,er,te,,,,,,
EU_en_Pres3-100_90,,,,,90,EU_en_Pres3-100,0.02546,proposal,parliament,legal,business,second,respect,paragraph,guarantee,expenses,eec,credit,person,assistance,laws,,,,,,
EU_en_Pres3-100_91,printing,http://eurovoc.europa.eu/2563,,,91,EU_en_Pres3-100,0.01081,imports,printing,writing,protocol,products,agreement,customs,ceiling,duties,paperboard,tariff,wood,commission,pulp,,,,,,
EU_en_Pres3-100_92,,,,,92,EU_en_Pres3-100,0.01695,european,communities,agreement,relations,external,note,additional,government,protocol,honour,commission,refer,opportunity,renew,,,,,,
EU_en_Pres3-100_93,fisheries policy,http://eurovoc.europa.eu/2476,,,93,EU_en_Pres3-100,0.01738,licence,licences,zone,community,species,point,annex,catches,flag,fisheries,flying,fishery,commission,quantity,,,,,,
EU_en_Pres3-100_94,Portugal,http://eurovoc.europa.eu/2563,,,94,EU_en_Pres3-100,0.01531,directive,amended,portuguese,june,decision,july,december,Portugal,laying,accession,marketing,delegation,acts,rules,,,,,,
EU_en_Pres3-100_95,machinery,http://eurovoc.europa.eu/2563,,,95,EU_en_Pres3-100,0.01019,machines,steel,apparatus,metal,iron,example,electric,falling,articles,weighing,base,exceeding,plates,tariff,,,,,,
EU_en_Pres3-100_96,financing,http://eurovoc.europa.eu/2563,,,96,EU_en_Pres3-100,0.01567,payments,special,Ireland,will,net,figure,amount,budget,civil,salaries,service,financing,servants,compensatory,,,,,,
EU_en_Pres3-100_97,,,,,97,EU_en_Pres3-100,0.03388,products,transitional,will,countries,delegation,vis,period,portuguese,statement,measures,arrangements,negotiations,commission,position,,,,,,
EU_en_Pres3-100_98,,,,,98,EU_en_Pres3-100,0.01819,investment,infrastructure,grants,assistance,regions,development,total,investments,commission,quota,areas,policy,programmes,industry,,,,,,
EU_en_Pres3-100_99,automobile manufacture,http://eurovoc.europa.eu/1361,,,99,EU_en_Pres3-100,0.0158,materials,components,petrol,technical,ignition,engines,devices,oil,manufacturers,type,substitute,annex,cars,production,,,,,,
EU_en_Pres3-50_0,,,,,0,EU_en_Pres3-50,0.0104,including,apparatus,parts,products,articles,heading,electrical,duty,falling,community,ii,materials,machines,electric,rate,andere,example,weighing,air,
EU_en_Pres3-50_1,,,,,1,EU_en_Pres3-50,0.06185,agreement,community,european,protocol,economic,republic,council,article,letters,exchange,contracting,parties,force,form,will,unchanged,negotiations,government,communities,
EU_en_Pres3-50_2,,,,,2,EU_en_Pres3-50,0.02853,training,fund,people,young,social,employment,vocational,operations,applications,assistance,workers,commission,programmes,member,regions,persons,priority,women,aid,
EU_en_Pres3-50_3,,,,,3,EU_en_Pres3-50,0.03836,prices,agricultural,rate,inflation,rates,incomes,agriculture,development,terms,income,national,support,real,increase,Ecu,member,period,price,average,
EU_en_Pres3-50_4,,,,,4,EU_en_Pres3-50,0.03177,aid,programme,food,countries,Ecu,milk,developing,powder,total,programmes,products,budget,funds,tonnes,skimmed,cereals,will,assistance,convention,
EU_en_Pres3-50_5,,,,,5,EU_en_Pres3-50,0.02481,energy,oil,projects,gas,coal,heat,community,electricity,demonstration,toe,project,heating,solar,investment,year,production,natural,fuels,consumption,
EU_en_Pres3-50_6,,,,,6,EU_en_Pres3-50,0.00787,quotas,leather,products,articles,subject,textile,including,category,rubber,outer,december,imports,decision,gloves,uppers,lists,fabric,eec,flax,
EU_en_Pres3-50_7,,,,,7,EU_en_Pres3-50,0.0224,community,republic,protocol,european,agreement,mission,communities,general,directorate,additional,products,relations,external,note,hellenic,accession,government,commission,honour,
EU_en_Pres3-50_8,,,,,8,EU_en_Pres3-50,0.01615,textile,products,woven,fabrics,fibres,quantitative,knitted,community,garments,cotton,crocheted,limits,article,outer,man,elastic,country,wool,category,
EU_en_Pres3-50_9,,,,,9,EU_en_Pres3-50,0.01842,tax,price,cigarettes,tobacco,excise,member,retail,total,harmonization,specific,states,prices,stage,ad,valorem,rates,taxation,approach,market,
EU_en_Pres3-50_10,,,,,10,EU_en_Pres3-50,0.01425,support,project,de,projects,committee,contract,supplies,centre,equipment,total,informatics,development,construction,lot,medical,hydrocarbons,supply,acquisition,awarded,
