doc_num,Nom du fichier,year,Taille (Ko),Dossier et nom
14347,1973_0011_COM_1973_0090_XM_PACKAGE.txt,1973,90.5556640625,H:\Corpus_commission\txt_files\1973_0011_COM_1973_0090_XM_PACKAGE.txt
14348,1973_0011_COM_1973_0091_XM_PACKAGE.txt,1973,39.939453125,H:\Corpus_commission\txt_files\1973_0011_COM_1973_0091_XM_PACKAGE.txt
14349,1973_0011_COM_1973_0092_XM_PACKAGE.txt,1973,45.6806640625,H:\Corpus_commission\txt_files\1973_0011_COM_1973_0092_XM_PACKAGE.txt
14350,1973_0012_COM_1973_0093_XM_PACKAGE.txt,1973,41.4599609375,H:\Corpus_commission\txt_files\1973_0012_COM_1973_0093_XM_PACKAGE.txt
14351,1973_0012_COM_1973_0094_XM_PACKAGE.txt,1973,60.09375,H:\Corpus_commission\txt_files\1973_0012_COM_1973_0094_XM_PACKAGE.txt
14352,1973_0012_COM_1973_0095_XM_PACKAGE.txt,1973,33.099609375,H:\Corpus_commission\txt_files\1973_0012_COM_1973_0095_XM_PACKAGE.txt
14353,1973_0012_COM_1973_0096_XM_PACKAGE.txt,1973,4.9423828125,H:\Corpus_commission\txt_files\1973_0012_COM_1973_0096_XM_PACKAGE.txt
14354,1973_0012_COM_1973_0097_XM_PACKAGE.txt,1973,8.29296875,H:\Corpus_commission\txt_files\1973_0012_COM_1973_0097_XM_PACKAGE.txt
14355,1973_0012_COM_1973_0098_XM_PACKAGE.txt,1973,40.3037109375,H:\Corpus_commission\txt_files\1973_0012_COM_1973_0098_XM_PACKAGE.txt
14356,1973_0012_COM_1973_0099_XM_PACKAGE.txt,1973,50.7138671875,H:\Corpus_commission\txt_files\1973_0012_COM_1973_0099_XM_PACKAGE.txt
14357,1973_0012_COM_1973_0100_XM_PACKAGE.txt,1973,35.9619140625,H:\Corpus_commission\txt_files\1973_0012_COM_1973_0100_XM_PACKAGE.txt
14358,1973_0013_COM_1973_0101_XM_PACKAGE.txt,1973,514.6748046875,H:\Corpus_commission\txt_files\1973_0013_COM_1973_0101_XM_PACKAGE.txt
14359,1973_0013_COM_1973_0102_XM_PACKAGE.txt,1973,79.5849609375,H:\Corpus_commission\txt_files\1973_0013_COM_1973_0102_XM_PACKAGE.txt
14360,1973_0014_COM_1973_0103_XM_PACKAGE.txt,1973,704.5458984375,H:\Corpus_commission\txt_files\1973_0014_COM_1973_0103_XM_PACKAGE.txt
14361,1973_0015_COM_1973_0104_XM_PACKAGE.txt,1973,79.5185546875,H:\Corpus_commission\txt_files\1973_0015_COM_1973_0104_XM_PACKAGE.txt
14362,1973_0015_COM_1973_0105_XM_PACKAGE.txt,1973,52.8671875,H:\Corpus_commission\txt_files\1973_0015_COM_1973_0105_XM_PACKAGE.txt
14363,1973_0015_COM_1973_0106_XM_PACKAGE.txt,1973,63.8603515625,H:\Corpus_commission\txt_files\1973_0015_COM_1973_0106_XM_PACKAGE.txt
14364,1973_0015_COM_1973_0107_XM_PACKAGE.txt,1973,78.3388671875,H:\Corpus_commission\txt_files\1973_0015_COM_1973_0107_XM_PACKAGE.txt
14365,1973_0015_COM_1973_0108_XM_PACKAGE.txt,1973,131.1865234375,H:\Corpus_commission\txt_files\1973_0015_COM_1973_0108_XM_PACKAGE.txt
14366,1973_0015_COM_1973_0109_XM_PACKAGE.txt,1973,35.1865234375,H:\Corpus_commission\txt_files\1973_0015_COM_1973_0109_XM_PACKAGE.txt
14367,1973_0015_COM_1973_0110_XM_PACKAGE.txt,1973,18.0791015625,H:\Corpus_commission\txt_files\1973_0015_COM_1973_0110_XM_PACKAGE.txt
14368,1973_0015_COM_1973_0111_XM_PACKAGE.txt,1973,29.7822265625,H:\Corpus_commission\txt_files\1973_0015_COM_1973_0111_XM_PACKAGE.txt
14369,1973_0016_COM_1973_0112_XM_PACKAGE.txt,1973,137.8046875,H:\Corpus_commission\txt_files\1973_0016_COM_1973_0112_XM_PACKAGE.txt
14370,1973_0016_COM_1973_0113_XM_PACKAGE.txt,1973,45.0810546875,H:\Corpus_commission\txt_files\1973_0016_COM_1973_0113_XM_PACKAGE.txt
14371,1973_0016_COM_1973_0114_XM_PACKAGE.txt,1973,14.2255859375,H:\Corpus_commission\txt_files\1973_0016_COM_1973_0114_XM_PACKAGE.txt
14372,1973_0016_COM_1973_0115_XM_PACKAGE.txt,1973,44.47265625,H:\Corpus_commission\txt_files\1973_0016_COM_1973_0115_XM_PACKAGE.txt
14373,1973_0016_COM_1973_0116_XM_PACKAGE.txt,1973,36.2021484375,H:\Corpus_commission\txt_files\1973_0016_COM_1973_0116_XM_PACKAGE.txt
14374,1973_0016_COM_1973_0117_XM_PACKAGE.txt,1973,34.60546875,H:\Corpus_commission\txt_files\1973_0016_COM_1973_0117_XM_PACKAGE.txt
14375,1973_0016_COM_1973_0118_XM_PACKAGE.txt,1973,6.953125,H:\Corpus_commission\txt_files\1973_0016_COM_1973_0118_XM_PACKAGE.txt
14376,1973_0016_COM_1973_0119_XM_PACKAGE.txt,1973,6.0595703125,H:\Corpus_commission\txt_files\1973_0016_COM_1973_0119_XM_PACKAGE.txt
14377,1973_0016_COM_1973_0120_XM_PACKAGE.txt,1973,8.486328125,H:\Corpus_commission\txt_files\1973_0016_COM_1973_0120_XM_PACKAGE.txt
14378,1973_0016_COM_1973_0121_XM_PACKAGE.txt,1973,47.783203125,H:\Corpus_commission\txt_files\1973_0016_COM_1973_0121_XM_PACKAGE.txt
14379,1973_0017_COM_1973_0122_XM_PACKAGE.txt,1973,193.09765625,H:\Corpus_commission\txt_files\1973_0017_COM_1973_0122_XM_PACKAGE.txt
14380,1973_0017_COM_1973_0123_XM_PACKAGE.txt,1973,40.3828125,H:\Corpus_commission\txt_files\1973_0017_COM_1973_0123_XM_PACKAGE.txt
14381,1973_0017_COM_1973_0124_XM_PACKAGE.txt,1973,150.9521484375,H:\Corpus_commission\txt_files\1973_0017_COM_1973_0124_XM_PACKAGE.txt
14382,1973_0017_COM_1973_0125_XM_PACKAGE.txt,1973,33.1328125,H:\Corpus_commission\txt_files\1973_0017_COM_1973_0125_XM_PACKAGE.txt
14383,1973_0017_COM_1973_0126_XM_PACKAGE.txt,1973,50.0068359375,H:\Corpus_commission\txt_files\1973_0017_COM_1973_0126_XM_PACKAGE.txt
14384,1973_0017_COM_1973_0127_XM_PACKAGE.txt,1973,28.998046875,H:\Corpus_commission\txt_files\1973_0017_COM_1973_0127_XM_PACKAGE.txt
14385,1973_0017_COM_1973_0128_XM_PACKAGE.txt,1973,26.2705078125,H:\Corpus_commission\txt_files\1973_0017_COM_1973_0128_XM_PACKAGE.txt
14386,1973_0017_COM_1973_0129_XM_PACKAGE.txt,1973,25.9794921875,H:\Corpus_commission\txt_files\1973_0017_COM_1973_0129_XM_PACKAGE.txt
14387,1973_0018_COM_1973_0130_XM_PACKAGE.txt,1973,38.0595703125,H:\Corpus_commission\txt_files\1973_0018_COM_1973_0130_XM_PACKAGE.txt
14388,1973_0018_COM_1973_0131_XM_PACKAGE.txt,1973,58.291015625,H:\Corpus_commission\txt_files\1973_0018_COM_1973_0131_XM_PACKAGE.txt
14389,1973_0018_COM_1973_0132_XM_PACKAGE.txt,1973,72.0830078125,H:\Corpus_commission\txt_files\1973_0018_COM_1973_0132_XM_PACKAGE.txt
14390,1973_0018_COM_1973_0133_XM_PACKAGE.txt,1973,34.34375,H:\Corpus_commission\txt_files\1973_0018_COM_1973_0133_XM_PACKAGE.txt
14391,1973_0018_COM_1973_0134_XM_PACKAGE.txt,1973,71.833984375,H:\Corpus_commission\txt_files\1973_0018_COM_1973_0134_XM_PACKAGE.txt
14392,1973_0018_COM_1973_0135_XM_PACKAGE.txt,1973,44.3349609375,H:\Corpus_commission\txt_files\1973_0018_COM_1973_0135_XM_PACKAGE.txt
14393,1973_0018_COM_1973_0136_XM_PACKAGE.txt,1973,47.4580078125,H:\Corpus_commission\txt_files\1973_0018_COM_1973_0136_XM_PACKAGE.txt
14394,1973_0018_COM_1973_0137_XM_PACKAGE.txt,1973,38.3935546875,H:\Corpus_commission\txt_files\1973_0018_COM_1973_0137_XM_PACKAGE.txt
14395,1973_0019_COM_1973_0138_XM_PACKAGE.txt,1973,77.111328125,H:\Corpus_commission\txt_files\1973_0019_COM_1973_0138_XM_PACKAGE.txt
14396,1973_0019_COM_1973_0139_XM_PACKAGE.txt,1973,42.8974609375,H:\Corpus_commission\txt_files\1973_0019_COM_1973_0139_XM_PACKAGE.txt
14397,1973_0019_COM_1973_0140_XM_PACKAGE.txt,1973,148.3203125,H:\Corpus_commission\txt_files\1973_0019_COM_1973_0140_XM_PACKAGE.txt
14398,1973_0019_COM_1973_0141_XM_PACKAGE.txt,1973,45.162109375,H:\Corpus_commission\txt_files\1973_0019_COM_1973_0141_XM_PACKAGE.txt
14399,1973_0020_COM_1973_0142_XM_PACKAGE.txt,1973,121.072265625,H:\Corpus_commission\txt_files\1973_0020_COM_1973_0142_XM_PACKAGE.txt
14400,1973_0020_COM_1973_0143_XM_PACKAGE.txt,1973,68.8466796875,H:\Corpus_commission\txt_files\1973_0020_COM_1973_0143_XM_PACKAGE.txt
14401,1973_0020_COM_1973_0144_XM_PACKAGE.txt,1973,38.0986328125,H:\Corpus_commission\txt_files\1973_0020_COM_1973_0144_XM_PACKAGE.txt
14402,1973_0020_COM_1973_0145_XM_PACKAGE.txt,1973,55.240234375,H:\Corpus_commission\txt_files\1973_0020_COM_1973_0145_XM_PACKAGE.txt
14403,1973_0020_COM_1973_0146_XM_PACKAGE.txt,1973,121.4453125,H:\Corpus_commission\txt_files\1973_0020_COM_1973_0146_XM_PACKAGE.txt
14404,1973_0021_COM_1973_0147_XM_PACKAGE.txt,1973,58.58984375,H:\Corpus_commission\txt_files\1973_0021_COM_1973_0147_XM_PACKAGE.txt
14405,1973_0021_COM_1973_0148_XM_PACKAGE.txt,1973,47.205078125,H:\Corpus_commission\txt_files\1973_0021_COM_1973_0148_XM_PACKAGE.txt
14406,1973_0021_COM_1973_0149_XM_PACKAGE.txt,1973,30.873046875,H:\Corpus_commission\txt_files\1973_0021_COM_1973_0149_XM_PACKAGE.txt
14407,1973_0021_COM_1973_0150_XM_PACKAGE.txt,1973,50.7314453125,H:\Corpus_commission\txt_files\1973_0021_COM_1973_0150_XM_PACKAGE.txt
14408,1973_0021_COM_1973_0151_XM_PACKAGE.txt,1973,8.1142578125,H:\Corpus_commission\txt_files\1973_0021_COM_1973_0151_XM_PACKAGE.txt
14409,1973_0021_COM_1973_0152_XM_PACKAGE.txt,1973,18.9287109375,H:\Corpus_commission\txt_files\1973_0021_COM_1973_0152_XM_PACKAGE.txt
14410,1973_0021_COM_1973_0153_XM_PACKAGE.txt,1973,6.6015625,H:\Corpus_commission\txt_files\1973_0021_COM_1973_0153_XM_PACKAGE.txt
14411,1973_0021_COM_1973_0154_XM_PACKAGE.txt,1973,17.3125,H:\Corpus_commission\txt_files\1973_0021_COM_1973_0154_XM_PACKAGE.txt
14412,1973_0021_COM_1973_0155_XM_PACKAGE.txt,1973,13.779296875,H:\Corpus_commission\txt_files\1973_0021_COM_1973_0155_XM_PACKAGE.txt
14413,1973_0021_COM_1973_0156_XM_PACKAGE.txt,1973,34.146484375,H:\Corpus_commission\txt_files\1973_0021_COM_1973_0156_XM_PACKAGE.txt
14414,1973_0021_COM_1973_0157_XM_PACKAGE.txt,1973,33.8544921875,H:\Corpus_commission\txt_files\1973_0021_COM_1973_0157_XM_PACKAGE.txt
14415,1973_0022_COM_1973_0158_XM_PACKAGE.txt,1973,78.626953125,H:\Corpus_commission\txt_files\1973_0022_COM_1973_0158_XM_PACKAGE.txt
14416,1973_0022_COM_1973_0159_XM_PACKAGE.txt,1973,44.2333984375,H:\Corpus_commission\txt_files\1973_0022_COM_1973_0159_XM_PACKAGE.txt
14417,1973_0022_COM_1973_0160_XM_PACKAGE.txt,1973,122.2763671875,H:\Corpus_commission\txt_files\1973_0022_COM_1973_0160_XM_PACKAGE.txt
14418,1973_0022_COM_1973_0161_XM_PACKAGE.txt,1973,36.3095703125,H:\Corpus_commission\txt_files\1973_0022_COM_1973_0161_XM_PACKAGE.txt
14419,1973_0022_COM_1973_0162_XM_PACKAGE.txt,1973,34.0703125,H:\Corpus_commission\txt_files\1973_0022_COM_1973_0162_XM_PACKAGE.txt
14420,1973_0022_COM_1973_0163_XM_PACKAGE.txt,1973,39.6640625,H:\Corpus_commission\txt_files\1973_0022_COM_1973_0163_XM_PACKAGE.txt
14421,1973_0023_COM_1973_0164_XM_PACKAGE.txt,1973,77.5634765625,H:\Corpus_commission\txt_files\1973_0023_COM_1973_0164_XM_PACKAGE.txt
14422,1973_0023_COM_1973_0165_XM_PACKAGE.txt,1973,211.3349609375,H:\Corpus_commission\txt_files\1973_0023_COM_1973_0165_XM_PACKAGE.txt
14423,1973_0023_COM_1973_0166_XM_PACKAGE.txt,1973,5.8896484375,H:\Corpus_commission\txt_files\1973_0023_COM_1973_0166_XM_PACKAGE.txt
14424,1973_0023_COM_1973_0167_XM_PACKAGE.txt,1973,5.00390625,H:\Corpus_commission\txt_files\1973_0023_COM_1973_0167_XM_PACKAGE.txt
