topic_id,tokens,term,dist,french,length,profondeur,category,link,bt1,mt,domain
Topic 121,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 122,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 192,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 52,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 188,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 95,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 147,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 201,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 28,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 44,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 64,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 230,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 77,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 86,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 176,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 214,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 76,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 82,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 3,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 68,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 127,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 194,regulation,regulation,0,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 121,regulation,regulation (EU),0,règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 122,regulation,regulation (EU),0,règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 192,regulation,regulation (EU),0,règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 52,regulation,regulation (EU),0,règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 188,regulation,regulation (EU),0,règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 95,regulation,regulation (EU),0,règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 147,regulation,regulation (EU),0,règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 201,regulation,regulation (EU),0,règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 28,regulation,regulation (EU),0,règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 44,regulation,regulation (EU),0,règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 64,regulation,regulation (EU),0,règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 230,regulation,regulation (EU),0,règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 77,regulation,regulation (EU),0,règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 86,regulation,regulation (EU),0,règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 176,regulation,regulation (EU),0,règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
